species_phylo,manusAngle.max
Accipiter_gentilis,158.9758103
Accipiter_striatus,158.1931986
Aechmophorus_occidentalis,154.0143563
Aegolius_acadicus,159.8490364
Agapornis_roseicollis,139.445554
Anas_platyrhynchos,162.7448645
Anthus_rubescens,105.2375697
Aquila_chrysaetos,144.254922
Ardea_herodias,167.4723322
Puffinus_griseus,160.5347706
Asio_flammeus,170.3328105
Aythya_marila,149.3127684
Buteo_jamaicensis,166.1175043
Calidris_mauri,171.7761229
Calypte_anna,116.8907781
Cathartes_aura,156.5392675
Catharus_guttatus,136.2251626
Cerorhinca_monocerata,165.1371979
Chordeiles_minor,169.8027751
Colaptes_auratus,171.0493019
Columba_livia,171.8529976
Contopus_sordidulus,130.2588541
Corvus_caurinus,178.2047074
Corvus_corax,131.7986014
Coturnix_coturnix,133.2951166
Cyanocitta_stelleri,159.51632
Cypseloides_niger,152.1640852
Dendragapus_canadensis,149.4943181
Falco_columbarius,138.5112086
Falco_peregrinus,147.8951667
Falco_rusticolus,153.6938199
Falco_sparverius,170.7307466
Glaucidium_gnoma,119.2649156
Haliaeetus_leucocephalus,146.7031198
Hirundo_rustica,162.7104781
Oceanodroma_leucorhoa,129.4923149
Zoothera_naevia,134.0533663
Larus_delawarensis,133.153255
Larus_glaucescens,170.5822002
Lophura_swinhoii,129.6070443
Loxia_curvirostra,139.0456837
Anas_americana,140.752704
Megaceryle_alcyon,176.5262068
Melopsittacus_undulatus,159.1088519
Phalacrocorax_auritus,150.7190194
Nymphicus_hollandicus,170.5107633
Pandion_haliaetus,151.6856989
Porzana_carolina,151.1788599
Rallus_limicola,148.860832
Regulus_satrapa,163.1165658
Seiurus_aurocapilla,130.8755192
Selasphorus_rufus,139.5182231
Sphyrapicus_ruber,144.0695005
Strix_nebulosa,132.1285048
Sturnus_vulgaris,143.9777151
Synthliboramphus_antiquus,134.7013525
Tachycineta_thalassina,152.0059283
Taeniopygia_guttata,148.8711629
Tyto_alba,134.0904969
Uria_aalge,161.335
Zenaida_macroura,147.1868456
Ptiloris_victoriae,237.067
Ptiloris_magnificus,238.615
