Species,Subspecies,Sex,Age,ID,Locality,Wing,Tarsus
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16596,N Queenland,138,31.4
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16586,N Queensland,139,32.3
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16583,N. Queensland,137,31.6
Ptiloris_victoriae,VICTORIAE,M,Adult,Mv B16582,N Queensland,134,30.6
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16589,N. Queensland,133,33.2
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16600,Queensland,141,29.8
Ptiloris_victoriae,VICTORIAE,M,Adult,MV B16599,Queensland,142,32.2
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1023,"Murray R., Cardwell",140,33.5
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1022,"Kirrima Range, Cardwell ",137,31.3
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 8454,"Kirrima Range, Cardwell 2500'",138,31.7
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1021,"Kirrima Range, Cardwell ",134,30.9
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1020,"Atherton, N. Qld",148,32.2
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1033,"Herberton Range, N. Qld",139,30.7
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1032,"Herberton Range, N. Qld",141,31.2
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1034,"Boer Pocket, nr Cairns",136,31.7
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1035,"Boer Pocket, nr Cairns",144,31.1
Ptiloris_victoriae,VICTORIAE,M,Adult,MV Wh 1036,"Boer Pocket, nr Cairns",137,31.4
Ptiloris_victoriae,VICTORIAE,M,Adult,SAM,"Barron RIver, N. Qld",139,30.2
Ptiloris_victoriae,VICTORIAE,M,Adult,SAM B9344,"Allumbah, N.Q.",146,32.8
Ptiloris_victoriae,VICTORIAE,M,Adult,CSIRO 39494,"Mission Beach, Qld",138,31.4
Ptiloris_victoriae,VICTORIAE,M,Adult,CSIRO 13519,"Mission Beach, Qld",139,31.7
Ptiloris_victoriae,VICTORIAE,M,Adult,CSIRO 41538,"Severin, Boar Pocket Rd, E of Atherton, Qld",137,32.7
Ptiloris_victoriae,VICTORIAE,M,Adult,CSIRO 37539,?Rossville,138,32.6
Ptiloris_victoriae,VICTORIAE,M,Adult,CSIRO 39878,"Mt Walker, Helensvale area, S  of Cooktown",138,31.3
Ptiloris_victoriae,VICTORIAE,M,Adult,AM A2942,Barnard island,142,32.4
Ptiloris_victoriae,VICTORIAE,M,Adult,AM A2943,Barnard island,138,31.8
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.28757,"Johnstone River, N. Qld",139,33.2
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.28755,"Johnstone River, N. Qld",142,33.1
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.28756,"Weirimba, Herberton",138,31.8
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.28754,"Johnstone River, N. Qld",139,32.5
Ptiloris_victoriae,VICTORIAE,M,Adult,Am 0.3437,"Herberton District, Qld",140,32.6
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.16083,"Atherton, Qld. ",135,33
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.16088,Atherton,141,31.9
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.16085,"Atherton, Qld",139,33.4
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0. 28753,"Johnstone River, N. Qld",140,30.7
Ptiloris_victoriae,VICTORIAE,M,Adult,AM 0.12135,"Barnard island, N. Qld",139,33.3
Ptiloris_victoriae,VICTORIAE,M,Adult,QM 0. 3713,"Hinchinbrook Island, N Qld",136,32.7
Ptiloris_victoriae,VICTORIAE,M,Adult,QM 0. 12189,"Cardwell, N. E. Qld",143,34.6
