"","species","abbreviation","wing_M","wing_F","tarsus_M","tarsus_F","weight_M","weight_F","resid.wing.M","resid.wing.F","resid.wing.dimorph","taxon"
"1","Lycocorax_pyrrhopterus","LycPyr",198,192,44.1,43.3,302,267,0.0296415348620362,0.0369468194494122,-0.007305284587376,"Monogamous"
"2","Manucodia_ater","ManAtr",190,182,40.5,39.5,238,208,0.0461729240682329,0.0482467710907182,-0.00207384702248525,"Monogamous"
"3","Manucodia_chalybatus","ManCha",173,167,37.8,37.1,223,209,0.0333703246512846,0.0344564592051606,-0.00108613455387596,"Monogamous"
"4","Manucodia_comrii","ManCom",237,225,50.3,48.9,448,418,0.0545198014082047,0.0601058660477327,-0.00558606463952804,"Monogamous"
"5","Manucodia_jobiensis","ManJob",176,169,37.1,36.1,228,180,0.048397120726841,0.0498986086451763,-0.00150148791833526,"Monogamous"
"6","Phonygammus_keraudrenii","PhoKer",167,160,36.1,35.1,171,151,0.0366524477526928,0.0366923770594574,-3.99293067645523e-05,"Monogamous"
"7","Paradigalla_carunculata","ParCaru",186,165,49,45.6,NA,170,-0.0401248888811647,-0.0483266873987791,0.00820179851761438,"Core"
"8","Paradigalla_brevicauda","ParBre",158,150,44,41.9,173,163,-0.0674483827998018,-0.0579075725904867,-0.00954081020931508,"Core"
"9","Ptiloris_paradiseus","PtiPar",160,144,33.3,32.3,141,104,0.0507102754775905,0.0221873085105888,0.0285229669670017,"Core: Ptiloris"
"10","Ptiloris_victoriae","PtiVic",139,125,32.1,30.3,105,86,0.00444935004448332,-0.0152359870964283,0.0196853371409116,"Core: Ptiloris"
"11","Ptiloris_magnificus","PtiMag",186,153,39,35.1,207,142,0.0521967431481967,0.0172638252211317,0.034932917927065,"Core: Ptiloris"
"12","Ptiloris_intercedens","PtiInt",193,152,40.4,35.2,184,126,0.0539765352357513,0.0133464830901238,0.0406300521456275,"Core: Ptiloris"
"13","Semioptera_wallacii","SemWal",157,144,41.8,39.3,163,135,-0.0494597005650856,-0.0515538530076465,0.00209415244256084,"Core"
"14","Seleucidis_melanoleucus","SelMel",173,162,40.3,37.3,193,171,0.00746771054650841,0.0192338754968775,-0.0117661649503691,"Core"
